feature,precision,recall,f1,category
workclass,0.7071823204419889,0.25098039215686274,0.3704775687409551,Private
workclass,0.68,0.23943661971830985,0.35416666666666663,Self-emp-not-inc
workclass,0.6829268292682927,0.224,0.3373493975903615,Local-gov
workclass,0.8979591836734694,0.3188405797101449,0.47058823529411764,Self-emp-inc
workclass,0.8666666666666667,0.18571428571428572,0.3058823529411765,Federal-gov
workclass,0.5,0.24242424242424243,0.326530612244898,?
workclass,0.9130434782608695,0.26582278481012656,0.4117647058823529,State-gov
workclass,1.0,1.0,1.0,Without-pay
workclass,1.0,1.0,1.0,Never-worked
education,0.568,0.20402298850574713,0.30021141649048627,HS-grad
education,0.8333333333333334,0.2850877192982456,0.42483660130718953,Bachelors
education,0.7857142857142857,0.20754716981132076,0.3283582089552239,Assoc-acdm
education,0.6086956521739131,0.21212121212121213,0.3146067415730337,Assoc-voc
education,0.0,0.0,0.0,9th
education,0.6206896551724138,0.1836734693877551,0.28346456692913385,Some-college
education,0.4,0.6666666666666666,0.5,5th-6th
education,0.3333333333333333,0.1111111111111111,0.16666666666666666,7th-8th
education,0.8787878787878788,0.30526315789473685,0.453125,Masters
education,0.8974358974358975,0.4069767441860465,0.5599999999999999,Prof-school
education,0.5,0.36363636363636365,0.4210526315789474,10th
education,0.5,0.1111111111111111,0.1818181818181818,12th
education,0.5714285714285714,0.5714285714285714,0.5714285714285714,11th
education,0.0,1.0,0.0,Preschool
education,1.0,0.0,0.0,1st-4th
education,1.0,0.2753623188405797,0.4318181818181819,Doctorate
marital-status,0.3670886075949367,0.31521739130434784,0.3391812865497076,Never-married
marital-status,0.6052631578947368,0.24210526315789474,0.3458646616541354,Divorced
marital-status,0.8184019370460048,0.24546114742193173,0.37765363128491614,Married-civ-spouse
marital-status,0.5454545454545454,0.3333333333333333,0.41379310344827586,Separated
marital-status,0.5,0.3076923076923077,0.380952380952381,Widowed
marital-status,0.5,0.3,0.37499999999999994,Married-spouse-absent
marital-status,1.0,0.5,0.6666666666666666,Married-AF-spouse
occupation,0.2,0.13793103448275862,0.16326530612244897,Other-service
occupation,0.8805970149253731,0.28162291169451076,0.42676311030741415,Exec-managerial
occupation,0.59375,0.16964285714285715,0.2638888888888889,Adm-clerical
occupation,0.9,0.16666666666666666,0.28125,Tech-support
occupation,0.5555555555555556,0.25,0.3448275862068966,Farming-fishing
